REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"REGION1","SEBFHPFH1","SEPM25",2024,2.4748406719344e-05
"REGION1","SEBFHPFH1","SEPM25",2025,1.87487929692e-05
"REGION1","SEBMCCPH1","SEPM25",2019,6.50484494300227e-05
"REGION1","SEBMCCPH1","SEPM25",2020,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2021,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2022,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2023,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2024,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2025,0.000196381055788582
"REGION1","SEBMCCPH1","SEPM25",2060,0.000221699601391635
"REGION1","SEBMCHPH3","SEPM25",2026,6.29646760122141
"REGION1","SEBMCHPH3","SEPM25",2027,6.2964676012213
"REGION1","SEBMCHPH3","SEPM25",2028,6.29646760122248
"REGION1","SEBMCHPH3","SEPM25",2029,6.29646760122141
"REGION1","SEBMCHPH3","SEPM25",2030,3.14823380061065
"REGION1","SEBMSTPH3","SEPM25",2020,3839.33687325157
"REGION1","SEBMSTPH3","SEPM25",2021,4474.02499573229
"REGION1","SEBMSTPH3","SEPM25",2022,6823.13661052215
"REGION1","SEBMSTPH3","SEPM25",2023,7338.66292128009
"REGION1","SEBMSTPH3","SEPM25",2024,8459.81021330034
"REGION1","SEBMSTPH3","SEPM25",2025,8342.49204502202
"REGION1","SEBMSTPH3","SEPM25",2026,8602.84036329843
"REGION1","SEBMSTPH3","SEPM25",2027,8602.84036329843
"REGION1","SEBMSTPH3","SEPM25",2028,8602.84036329843
"REGION1","SEBMSTPH3","SEPM25",2029,8602.84036329843
"REGION1","SEBMSTPH3","SEPM25",2030,882.571158534525
"REGION1","SEBMSTPH3","SEPM25",2031,686.681055385415
"REGION1","SEBMSTPH3","SEPM25",2032,686.681055385415
"REGION1","SEBMSTPH3","SEPM25",2033,686.681055385417
"REGION1","SEBMSTPH3","SEPM25",2034,686.681055385415
"REGION1","SEBMSTPH3","SEPM25",2035,4241.6301233041
"REGION1","SEBMSTPH3","SEPM25",2036,4241.6301233041
"REGION1","SEBMSTPH3","SEPM25",2037,4241.6301233041
"REGION1","SEBMSTPH3","SEPM25",2038,4241.6301233041
"REGION1","SEBMSTPH3","SEPM25",2039,4241.63012330411
"REGION1","SEBMSTPH3","SEPM25",2040,6135.57757424085
"REGION1","SEBMSTPH3","SEPM25",2041,11978.3456028616
"REGION1","SEBMSTPH3","SEPM25",2042,11880.400551287
"REGION1","SEBMSTPH3","SEPM25",2043,12707.6840020493
"REGION1","SEBMSTPH3","SEPM25",2044,12707.6840020493
"REGION1","SEBMSTPH3","SEPM25",2045,14441.7934413848
"REGION1","SEBMSTPH3","SEPM25",2046,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2047,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2048,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2049,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2050,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2051,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2052,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2053,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2054,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2055,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2056,14441.7934413848
"REGION1","SEBMSTPH3","SEPM25",2057,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2058,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2059,14441.7934413849
"REGION1","SEBMSTPH3","SEPM25",2060,13853.057437574
"REGION1","SECO00I00","CO2",2015,1003.0242266154
"REGION1","SECO00I00","CO2",2016,1092.1044952026
"REGION1","SECO00I00","CO2",2017,1181.1856691448
"REGION1","SECO00I00","CO2",2018,1270.265937732
"REGION1","SECO00I00","CO2",2019,1359.3471116742
"REGION1","SECO00I00","CO2",2020,1448.4273802614
"REGION1","SECO00I00","CO2",2021,1450.3255837686
"REGION1","SECO00I00","CO2",2022,1452.2237872758
"REGION1","SECO00I00","CO2",2023,1454.121990783
"REGION1","SECO00I00","CO2",2024,1456.02019429019
"REGION1","SECO00I00","CO2",2025,1457.9183977974
"REGION1","SECO00I00","CO2",2026,972.350017150916
"REGION1","SECO00I00","CO2",2027,1046.26830555312
"REGION1","SECO00I00","CO2",2028,1120.18749931032
"REGION1","SECO00I00","CO2",2029,1166.42972056418
"REGION1","SECO00I00","CO2",2030,1181.4725817734
"REGION1","SECO00I00","CO2",2031,377.310829312074
"REGION1","SECO00I00","CO2",2032,359.987254002252
"REGION1","SECO00I00","CO2",2033,342.6615154088
"REGION1","SECO00I00","CO2",2034,325.337940098978
"REGION1","SECO00I00","CO2",2035,308.012201505526
"REGION1","SECO00I00","CO2",2036,290.686462912074
"REGION1","SECO00I00","CO2",2037,273.362887602252
"REGION1","SECO00I00","CO2",2038,256.036784415108
"REGION1","SECO00I00","CO2",2039,238.713573698978
"REGION1","SECO00I00","CO2",2040,221.356706240278
"REGION1","SECO00I00","CO2",2041,204.064259795704
"REGION1","SECO00I00","CO2",2042,186.738521202252
"REGION1","SECO00I00","CO2",2043,169.383817027182
"REGION1","SECO00I00","CO2",2044,152.089207298978
"REGION1","SECO00I00","CO2",2045,134.846398730843
"REGION1","SECO00I00","CO2",2046,117.520660137391
"REGION1","SECO00I00","CO2",2047,100.197084827569
"REGION1","SECO00I00","CO2",2048,82.8713462341173
"REGION1","SECO00I00","CO2",2049,65.5477709242954
"REGION1","SECO00I00","CO2",2050,47.1040262083367
"REGION1","SECO00I00","CO2",2051,47.1040262083367
"REGION1","SECO00I00","CO2",2052,47.1040262083367
"REGION1","SECO00I00","CO2",2053,47.1040262083367
"REGION1","SECO00I00","CO2",2054,46.8473783726709
"REGION1","SECO00I00","CO2",2055,45.1572089938098
"REGION1","SECO00I00","CO2",2056,45.1572089938098
"REGION1","SECO00I00","CO2",2057,45.1572089938098
"REGION1","SECO00I00","CO2",2058,45.1572089938098
"REGION1","SECO00I00","CO2",2059,45.1572089938098
"REGION1","SECO00I00","CO2",2060,45.1572089938097
"REGION1","SECO00X00","CO2",2015,796.01346594
"REGION1","SECO00X00","CO2",2016,708.83140086
"REGION1","SECO00X00","CO2",2017,621.648430425
"REGION1","SECO00X00","CO2",2018,534.466365345
"REGION1","SECO00X00","CO2",2019,447.28339491
"REGION1","SECO00X00","CO2",2020,360.10132983
"REGION1","SECO00X00","CO2",2021,360.10132983
"REGION1","SECO00X00","CO2",2022,360.10132983
"REGION1","SECO00X00","CO2",2023,360.10132983
"REGION1","SECO00X00","CO2",2024,360.10132983
"REGION1","SECO00X00","CO2",2025,360.10132983
"REGION1","SECO00X00","CO2",2026,288.081244935
"REGION1","SECO00X00","CO2",2027,216.06116004
"REGION1","SECO00X00","CO2",2028,144.04016979
"REGION1","SECO00X00","CO2",2029,72.020265966
"REGION1","SEHF00I00","CO2",2015,1000.9098647964
"REGION1","SEHF00I00","CO2",2016,1027.7297601012
"REGION1","SEHF00I00","CO2",2017,1055.2673922336
"REGION1","SEHF00I00","CO2",2018,1083.5429436
"REGION1","SEHF00I00","CO2",2019,1120.88039544
"REGION1","SEHF00I00","CO2",2020,1142.32420224
"REGION1","SEHF00I00","CO2",2021,1154.8902730248
"REGION1","SEHF00I00","CO2",2022,1167.5938364532
"REGION1","SEHF00I00","CO2",2023,1180.437415326
"REGION1","SEHF00I00","CO2",2024,1193.4222710436
"REGION1","SEHF00I00","CO2",2025,1206.5496650064
"REGION1","SEHF00I00","CO2",2026,1219.8221200152
"REGION1","SEHF00I00","CO2",2027,1233.23963607
"REGION1","SEHF00I00","CO2",2028,1246.8047359716
"REGION1","SEHF00I00","CO2",2029,1260.5199425208
"REGION1","SEHF00I00","CO2",2030,1274.380210116
"REGION1","SEHF00I00","CO2",2031,1288.406982564
"REGION1","SEHF00I00","CO2",2032,1302.572509056
"REGION1","SEHF00I00","CO2",2033,1316.9020176
"REGION1","SEHF00I00","CO2",2034,1331.395508196
"REGION1","SEHF00I00","CO2",2035,1346.04036684
"REGION1","SEHF00I00","CO2",2036,1360.849207536
"REGION1","SEHF00I00","CO2",2037,1375.80941628
"REGION1","SEHF00I00","CO2",2038,1390.94622108
"REGION1","SEHF00I00","CO2",2039,1406.247007932
"REGION1","SEHF00I00","CO2",2040,1421.711776836
"REGION1","SEHF00I00","CO2",2041,1437.353141796
"REGION1","SEHF00I00","CO2",2042,1453.158488808
"REGION1","SEHF00I00","CO2",2043,1469.15304588
"REGION1","SEHF00I00","CO2",2044,1485.311585004
"REGION1","SEHF00I00","CO2",2045,1501.646720184
"REGION1","SEHF00I00","CO2",2046,1518.171065424
"REGION1","SEHF00I00","CO2",2047,1534.87200672
"REGION1","SEHF00I00","CO2",2048,1551.749544072
"REGION1","SEHF00I00","CO2",2049,1568.816291484
"REGION1","SEHF00I00","CO2",2050,1586.072248956
"REGION1","SEHF00I00","CO2",2051,1603.517416488
"REGION1","SEHF00I00","CO2",2052,1621.164408084
"REGION1","SEHF00I00","CO2",2053,1639.00060974
"REGION1","SEHF00I00","CO2",2054,1657.026021456
"REGION1","SEHF00I00","CO2",2055,1675.253257236
"REGION1","SEHF00I00","CO2",2056,1693.68231708
"REGION1","SEHF00I00","CO2",2057,1712.313200988
"REGION1","SEHF00I00","CO2",2058,1731.14590896
"REGION1","SEHF00I00","CO2",2059,1750.193055
"REGION1","SEHF00I00","CO2",2060,1769.442025104
"REGION1","SEHYDMPH1","SEHO",2015,19.2379220267001
"REGION1","SEHYDMPH1","SEHO",2016,16.9589782232747
"REGION1","SEHYDMPH1","SEHO",2017,14.4444674488188
"REGION1","SEHYDMPH1","SEHO",2018,13.6709540131189
"REGION1","SEHYDMPH1","SEHO",2019,13.6157851078023
"REGION1","SEHYDMPH1","SEHO",2020,13.2773260010206
"REGION1","SEHYDMPH1","SEHO",2021,13.2622928288778
"REGION1","SEHYDMPH1","SEHO",2022,13.1309936706719
"REGION1","SEHYDMPH1","SEHO",2023,12.8998231933812
"REGION1","SEHYDMPH1","SEHO",2024,12.7211269962118
"REGION1","SEHYDMPH1","SEHO",2025,12.4421623772972
"REGION1","SEHYDMPH1","SEHO",2026,12.4073449833249
"REGION1","SEHYDMPH1","SEHO",2027,12.2675081179209
"REGION1","SEHYDMPH1","SEHO",2028,12.2106373440598
"REGION1","SEHYDMPH1","SEHO",2029,11.6880218785285
"REGION1","SEHYDMPH1","SEHO",2030,11.4716009286233
"REGION1","SEHYDMPH1","SEHO",2031,11.4301887940412
"REGION1","SEHYDMPH1","SEHO",2032,11.2085913273132
"REGION1","SEHYDMPH1","SEHO",2033,10.8112759333685
"REGION1","SEHYDMPH1","SEHO",2034,10.6101718003635
"REGION1","SEHYDMPH1","SEHO",2035,10.378547491461
"REGION1","SEHYDMPH1","SEHO",2036,10.2231101643994
"REGION1","SEHYDMPH1","SEHO",2037,10.0343445783418
"REGION1","SEHYDMPH1","SEHO",2038,9.46918239919871
"REGION1","SEHYDMPH1","SEHO",2039,9.03875147982626
"REGION1","SEHYDMPH1","SEHO",2040,8.86828098062175
"REGION1","SEHYDMPH1","SEHO",2041,8.53102736405908
"REGION1","SEHYDMPH1","SEHO",2042,7.69895546819148
"REGION1","SEHYDMPH1","SEHO",2043,7.5465531400341
"REGION1","SEHYDMPH1","SEHO",2044,7.27021223512562
"REGION1","SEHYDMPH1","SEHO",2045,7.27021223512562
"REGION1","SEHYDMPH1","SEHO",2046,7.19433726251795
"REGION1","SEHYDMPH1","SEHO",2047,7.19433726251795
"REGION1","SEHYDMPH1","SEHO",2048,7.18299147222148
"REGION1","SEHYDMPH1","SEHO",2049,7.08797047848852
"REGION1","SEHYDMPH1","SEHO",2050,7.0706681482864
"REGION1","SEHYDMPH1","SEHO",2051,7.0706681482864
"REGION1","SEHYDMPH1","SEHO",2052,6.77170657397433
"REGION1","SEHYDMPH1","SEHO",2053,6.75610611231668
"REGION1","SEHYDMPH1","SEHO",2054,6.75610611231668
"REGION1","SEHYDMPH1","SEHO",2055,6.49798938307191
"REGION1","SEHYDMPH1","SEHO",2056,6.48891275083473
"REGION1","SEHYDMPH1","SEHO",2057,6.40396114598989
"REGION1","SEHYDMPH1","SEHO",2058,6.23059747025978
"REGION1","SEHYDMPH1","SEHO",2059,5.82446072435964
"REGION1","SEHYDMPH1","SEHO",2060,5.70489027687269
"REGION1","SEHYDMPH2","SEHO",2015,141.55121431783
"REGION1","SEHYDMPH2","SEHO",2016,140.503146939193
"REGION1","SEHYDMPH2","SEHO",2017,140.141499873493
"REGION1","SEHYDMPH2","SEHO",2018,134.2884903043
"REGION1","SEHYDMPH2","SEHO",2019,133.012088895947
"REGION1","SEHYDMPH2","SEHO",2020,132.870266517241
"REGION1","SEHYDMPH2","SEHO",2021,132.232065813064
"REGION1","SEHYDMPH2","SEHO",2022,130.799659788135
"REGION1","SEHYDMPH2","SEHO",2023,130.799659788135
"REGION1","SEHYDMPH2","SEHO",2024,127.651202980863
"REGION1","SEHYDMPH2","SEHO",2025,127.651202980863
"REGION1","SEHYDMPH2","SEHO",2026,127.261191439422
"REGION1","SEHYDMPH2","SEHO",2027,126.871179897981
"REGION1","SEHYDMPH2","SEHO",2028,126.871179897981
"REGION1","SEHYDMPH2","SEHO",2029,123.536935774605
"REGION1","SEHYDMPH2","SEHO",2030,123.094449953042
"REGION1","SEHYDMPH2","SEHO",2031,121.605598621387
"REGION1","SEHYDMPH2","SEHO",2032,118.444377800033
"REGION1","SEHYDMPH2","SEHO",2033,112.391398676864
"REGION1","SEHYDMPH2","SEHO",2034,108.90682283206
"REGION1","SEHYDMPH2","SEHO",2035,102.051838157309
"REGION1","SEHYDMPH2","SEHO",2036,98.148177183429
"REGION1","SEHYDMPH2","SEHO",2037,91.1017322974256
"REGION1","SEHYDMPH2","SEHO",2038,86.7243845786675
"REGION1","SEHYDMPH2","SEHO",2039,83.9333201657351
"REGION1","SEHYDMPH2","SEHO",2040,81.7634377715345
"REGION1","SEHYDMPH2","SEHO",2041,73.8483308159574
"REGION1","SEHYDMPH2","SEHO",2042,70.6232899241849
"REGION1","SEHYDMPH2","SEHO",2043,65.9006047132779
"REGION1","SEHYDMPH2","SEHO",2044,58.4889672021067
"REGION1","SEHYDMPH2","SEHO",2045,56.5601828517063
"REGION1","SEHYDMPH2","SEHO",2046,54.3364079535975
"REGION1","SEHYDMPH2","SEHO",2047,52.7054505984795
"REGION1","SEHYDMPH2","SEHO",2048,47.2155063187735
"REGION1","SEHYDMPH2","SEHO",2049,45.1271717923289
"REGION1","SEHYDMPH2","SEHO",2050,42.5034577862694
"REGION1","SEHYDMPH2","SEHO",2051,39.567734547057
"REGION1","SEHYDMPH2","SEHO",2052,39.0004450322333
"REGION1","SEHYDMPH2","SEHO",2053,34.2635775834557
"REGION1","SEHYDMPH2","SEHO",2054,29.7904997590712
"REGION1","SEHYDMPH2","SEHO",2055,23.9970555889345
"REGION1","SEHYDMPH2","SEHO",2056,19.1807676080816
"REGION1","SEHYDMPH2","SEHO",2057,18.8120294234462
"REGION1","SEHYDMPH2","SEHO",2058,17.5781747287047
"REGION1","SEHYDMPH2","SEHO",2059,16.457777936928
"REGION1","SEHYDMPH2","SEHO",2060,15.4933857617278
"REGION1","SEHYDMPH3","SEHO",2015,70.8090772402897
"REGION1","SEHYDMPH3","SEHO",2016,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2017,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2018,70.8090772402897
"REGION1","SEHYDMPH3","SEHO",2019,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2020,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2021,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2022,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2023,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2024,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2025,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2026,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2027,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2028,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2029,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2030,111.302259697164
"REGION1","SEHYDMPH3","SEHO",2031,113.903523163401
"REGION1","SEHYDMPH3","SEHO",2032,118.358341451484
"REGION1","SEHYDMPH3","SEHO",2033,125.880635968597
"REGION1","SEHYDMPH3","SEHO",2034,130.638315946407
"REGION1","SEHYDMPH3","SEHO",2035,138.79692493006
"REGION1","SEHYDMPH3","SEHO",2036,143.384921702894
"REGION1","SEHYDMPH3","SEHO",2037,150.612132174955
"REGION1","SEHYDMPH3","SEHO",2038,155.546642072856
"REGION1","SEHYDMPH3","SEHO",2039,154.638089068232
"REGION1","SEHYDMPH3","SEHO",2040,161.091490298566
"REGION1","SEHYDMPH3","SEHO",2041,170.925850870706
"REGION1","SEHYDMPH3","SEHO",2042,170.925850870706
"REGION1","SEHYDMPH3","SEHO",2043,183.02405119741
"REGION1","SEHYDMPH3","SEHO",2044,182.731493254621
"REGION1","SEHYDMPH3","SEHO",2045,195.80581396389
"REGION1","SEHYDMPH3","SEHO",2046,199.696463834607
"REGION1","SEHYDMPH3","SEHO",2047,202.918421189725
"REGION1","SEHYDMPH3","SEHO",2048,210.010711259727
"REGION1","SEHYDMPH3","SEHO",2049,213.785066779905
"REGION1","SEHYDMPH3","SEHO",2050,218.017083116167
"REGION1","SEHYDMPH3","SEHO",2051,222.314806355379
"REGION1","SEHYDMPH3","SEHO",2052,224.551057444515
"REGION1","SEHYDMPH3","SEHO",2053,230.67952535495
"REGION1","SEHYDMPH3","SEHO",2054,234.074095394025
"REGION1","SEHYDMPH3","SEHO",2055,243.977164078716
"REGION1","SEHYDMPH3","SEHO",2056,254.069782379134
"REGION1","SEHYDMPH3","SEHO",2057,255.645472168615
"REGION1","SEHYDMPH3","SEHO",2058,255.375143850373
"REGION1","SEHYDMPH3","SEHO",2059,255.375143850373
"REGION1","SEHYDMPH3","SEHO",2060,263.05618669945
"REGION1","SEHYDSPH2","SEHO",2015,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2016,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2017,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2018,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2019,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2020,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2021,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2022,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2023,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2024,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2025,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2026,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2027,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2028,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2029,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2030,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2031,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2032,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2033,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2034,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2035,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2036,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2037,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2038,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2039,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2040,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2041,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2042,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2043,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2044,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2045,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2046,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2047,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2048,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2049,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2050,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2051,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2052,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2053,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2054,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2055,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2056,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2057,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2058,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2059,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2060,0.778537261949414
"REGION1","SEHYDSPH3","SEHO",2015,4.14925368732831
