REGION,FUEL,YEAR,VALUE
REGION1,SEE2,2015,439.628536
REGION1,SEE2,2016,444.2172688
REGION1,SEE2,2017,448.8060016
REGION1,SEE2,2018,453.3947344
REGION1,SEE2,2019,457.9834672
REGION1,SEE2,2020,462.5722
REGION1,SEE2,2021,465.461092
REGION1,SEE2,2022,468.349984
REGION1,SEE2,2023,471.238876
REGION1,SEE2,2024,474.127768
REGION1,SEE2,2025,477.01666
REGION1,SEE2,2026,480.4247152
REGION1,SEE2,2027,483.8327704
REGION1,SEE2,2028,487.2408256
REGION1,SEE2,2029,490.6488808
REGION1,SEE2,2030,494.056936
REGION1,SEE2,2031,496.8537184
REGION1,SEE2,2032,499.6505008
REGION1,SEE2,2033,502.4472832
REGION1,SEE2,2034,505.2440656
REGION1,SEE2,2035,508.040848
REGION1,SEE2,2036,511.2814312
REGION1,SEE2,2037,514.5220144
REGION1,SEE2,2038,517.7625976
REGION1,SEE2,2039,521.0031808
REGION1,SEE2,2040,524.243764
REGION1,SEE2,2041,529.267924
REGION1,SEE2,2042,534.292084
REGION1,SEE2,2043,539.316244
REGION1,SEE2,2044,544.340404
REGION1,SEE2,2045,549.364564
REGION1,SEE2,2046,553.8276928
REGION1,SEE2,2047,558.2908216
REGION1,SEE2,2048,562.7539504
REGION1,SEE2,2049,567.2170792
REGION1,SEE2,2050,571.680208
REGION1,SEE2,2051,574.0676888
REGION1,SEE2,2052,576.4647196
REGION1,SEE2,2053,578.8713385
REGION1,SEE2,2054,581.2875838
REGION1,SEE2,2055,583.7134942
REGION1,SEE2,2056,585.5402046
REGION1,SEE2,2057,587.3723953
REGION1,SEE2,2058,589.2100824
REGION1,SEE2,2059,591.0532827
REGION1,SEE2,2060,592.9020125